idDip,urlPerf,fullName,apellido,nombre,estado,bloque,provincia,afirmativos,negativos,abstenciones,ausencias,presidencias
A51066,https://votaciones.hcdn.gob.ar/diputado/1643,"ALONSO, Laura Valeria",ALONSO, Laura Valeria,-,Frente de Todos,Buenos Aires,124,54,4,31,-
A50729,https://votaciones.hcdn.gob.ar/diputado/585,"ALONSO, María Luz",ALONSO, María Luz,-,Frente para la Victoria - PJ,La Pampa,395,6,-,8,-
G59,https://votaciones.hcdn.gob.ar/diputado/1243,"ALSOGARAY, Albaro Carlos",ALSOGARAY, Albaro Carlos,-,--,,53,50,8,100,-
G311,https://votaciones.hcdn.gob.ar/diputado/1498,"ALTERACH, Miguel Angel",ALTERACH, Miguel Angel,-,Justicialista,Misiones,65,24,1,10,-
A51042,https://votaciones.hcdn.gob.ar/diputado/1624,"ALUME SBODIO, Karim Augusto",ALUME SBODIO, Karim Augusto,En actividad,Frente de Todos,San Luis,135,36,8,61,-
G128,https://votaciones.hcdn.gob.ar/diputado/1312,"ALVAREZ, Carlos Alberto",ALVAREZ, Carlos Alberto,-,U. Ce. De.,Capital Federal,67,55,2,87,-
G233,https://votaciones.hcdn.gob.ar/diputado/1417,"ALVAREZ, Carlos Raúl",ALVAREZ, Carlos Raúl,-,Justicialista,Buenos Aires,92,20,3,49,-
A4762,https://votaciones.hcdn.gob.ar/diputado/453,"ALVAREZ, Elsa María",ALVAREZ, Elsa María,-,Unión Cívica Radical,Santa Cruz,183,87,6,49,-
A51187,https://votaciones.hcdn.gob.ar/diputado/1766,"ÁLVAREZ, Felipe",ÁLVAREZ, Felipe,En actividad,Producción y Trabajo,La Rioja,2,12,-,13,-
G129,https://votaciones.hcdn.gob.ar/diputado/1313,"ALVAREZ, Hector Claudio",ALVAREZ, Hector Claudio,-,U. Ce. De.,Capital Federal,5,1,-,8,-
A4740,https://votaciones.hcdn.gob.ar/diputado/132,"ALVAREZ, Jorge Mario",ALVAREZ, Jorge Mario,-,Unión Cívica Radical,Santa Fe,159,86,12,68,-
A4316,https://votaciones.hcdn.gob.ar/diputado/115,"ALVAREZ, Juan José",ALVAREZ, Juan José,-,Nucleo Unidad Peronista,Buenos Aires,328,121,20,595,-
A4071,https://votaciones.hcdn.gob.ar/diputado/615,"ALVAREZ, Roque Tobías",ALVAREZ, Roque Tobías,-,Justicialista,Tucumán,160,22,3,28,-
G130,https://votaciones.hcdn.gob.ar/diputado/1314,"ALVAREZ ECHAGUE, Raul A.",ALVAREZ ECHAGUE, Raul A.,-,U. Ce. De.,Capital Federal,91,25,3,92,-
G67,https://votaciones.hcdn.gob.ar/diputado/1251,"ALVAREZ GARCIA, Normando",ALVAREZ GARCIA, Normando,-,A.R.I,Buenos Aires,69,45,5,92,-
A50892,https://votaciones.hcdn.gob.ar/diputado/523,"ÁLVAREZ RODRIGUEZ, María Cristina",ÁLVAREZ RODRIGUEZ, María Cristina,En actividad,Frente de Todos,Buenos Aires,646,180,16,271,-
A4628,https://votaciones.hcdn.gob.ar/diputado/12,"ALVARO, Héctor Jorge",ALVARO, Héctor Jorge,-,De la Concertación,Mendoza,292,28,6,40,-
A4812,https://votaciones.hcdn.gob.ar/diputado/342,"AMADEO, Eduardo Pablo",AMADEO, Eduardo Pablo,-,PRO,Buenos Aires,490,190,11,191,-
A51188,https://votaciones.hcdn.gob.ar/diputado/1767,"AMAYA, Domingo",AMAYA, Domingo,En actividad,PRO,Tucumán,1,22,-,4,-
A4703,https://votaciones.hcdn.gob.ar/diputado/617,"AMENTA, Marcelo Eduardo",AMENTA, Marcelo Eduardo,-,Convergencia Federal,Buenos Aires,85,58,1,122,-
